name,surname,idnumber,gender,race,maritalstatus,email,cellphone,nextcourt
Matsobane,Mmolawa,9207086142087,Male,African,Single,matsobane@gmail.com,0760131447,20-07-2025
John,Langa,6201085444087,Male,African,Single,johnl@gmail.com,0728225759,27-07-2025
Danise,Scott,6607086142087,Female,White,Single,danisescott@gmail.com,0728461067,20-07-2025
Maxx,Masemola,9601085234087,Male,African,Single,maxx12@gmail.com,0639425759,27-07-2025
Leo,Banks,9002266155087,Male,African,Married,banksleo22@gmail.com,0799431447,20-07-2025
Cortin,Ledwaba,0001085234082,Male,African,Married,cortinboy@gmail.com,0628241269,27-07-2025
Martha,Kekana,9207086142084,Female,African,Single,marthakkn@gmail.com,0616831447,20-07-2025
Timm,Lauren,6201085234081,Male,Coloured,Single,timmman@gmail.com,0827425869,27-07-2025
Billy,Mathebula,9207086142088,Male,African,Single,billsmathe@gmail.com,0720114006,20-07-2025
Joyce,Seseni,6201085234087,Female,African,Single,joyceseseni2@gmail.com,0625225019,27-07-2025

